cve_entIFE,cve_mpioIFE,seccion,pobtot1994,avgpoverty,pobelegiblep,treatment,numerotreated,numerocontrol,one_random,two_random,early_progresa_p,villages,villages2,pri1994,votos_totales1994,pan1994,prd1994,t2000,t1994,pri2000s,pri1994s,pan2000s,pan1994s,prd2000s,prd1994s,rep_total,rep_PAN,rep_PRD,rep_PRI,_Ivillages_2,_Ivillages_3,_Ivillages_4,_Ivillages_5,_Ivillages_6,_Ivillages_7,_Ivillages_8,_Ivillages_9,_Ivillages_10,_Ivillages_11,_Ivillages_12,_Ivillages_13,_Ivillages_14
12,28,1127,1320,4.5,1,1,1,NA,1,0,1,2,NA,52,141,8,4,0.47022899985313416,0.21661314368247986,0.3893129825592041,0.07988569885492325,0.030534351244568825,0.012290108017623425,0.018320610746741295,0.006145054008811712,6,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
12,28,1141,384,5,1,1,1,NA,1,0,1,1,NA,58,80,6,7,0.4502164423465729,0.40223661065101624,0.31168830394744873,0.29162153601646423,0.06060606241226196,0.030167747288942337,0.05627705529332161,0.03519570454955101,6,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
12,28,1146,307,5,1,0,NA,1,1,0,0,1,NA,30,69,0,38,1,0.4639188349246979,0.7692307829856873,0.20170384645462036,0.025641025975346565,0,0.1666666716337204,0.2554915249347687,7,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
12,28,1151,840,5,1,0,NA,1,1,0,0.6184210777282715,6,NA,128,247,0,20,0.3738532066345215,0.633318305015564,0.23853211104869843,0.3281973600387573,0.004587155766785145,0,0.11926605552434921,0.05128083750605583,6,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0
12,28,1152,790,5,1,1,1,NA,1,0,1,1,NA,47,109,8,9,0.6487455368041992,0.28485095500946045,0.47311827540397644,0.12282564491033554,0.032258063554763794,0.020906493067741394,0.10035842657089233,0.02351980470120907,6,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
12,28,1168,632,5,1,1,1,NA,1,0,0.9577465057373047,2,NA,30,186,1,99,0.5806451439857483,0.6164225935935974,0.21407625079154968,0.09942300617694855,0.008797653950750828,0.003314100205898285,0.32844576239585876,0.3280959129333496,7,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
12,28,1197,356,5,1,1,1,NA,1,0,1,2,NA,274,314,0,30,0.7129629850387573,2.0417184829711914,0.5648148059844971,1.7816270589828491,0,0,0.06481481343507767,0.19506865739822388,5,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
12,34,1438,435,5,1,1,1,NA,1,0,1,2,NA,81,103,4,14,0.5117371082305908,0.5124710202217102,0.3661971688270569,0.40301117300987244,0.014084506779909134,0.019901785999536514,0.13145539164543152,0.06965625286102295,6,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
12,42,1699,1423,5,1,1,1,NA,1,0,1,9,NA,160,587,4,352,0.5726743936538696,0.921535313129425,0.1705426424741745,0.2511850893497467,0.00872093066573143,0.006279627326875925,0.3682170510292053,0.5526071786880493,28,4,9,9,0,0,0,0,0,0,0,1,0,0,0,0,0
12,42,1700,2949,4.833333492279053,1,1,1,NA,1,0,0.6041666865348816,8,NA,208,425,9,202,0.3131381869316101,0.33052873611450195,0.1218516007065773,0.16176465153694153,0.00748808728531003,0.0069994316436350346,0.17358747124671936,0.15709835290908813,17,3,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0
